lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true
22.0,24.0,0.0,15.799999,22.711273,15.485602378845215,25.681781768798828
22.0,24.0,0.0,15.599998,22.96749,15.434640884399414,19.714305877685547
22.0,24.0,0.0,15.400002,21.469347,15.494440078735352,25.7048397064209
22.0,24.0,0.0,15.200001,22.79029,15.495269775390625,22.660200119018555
22.0,24.0,0.0,15.0,22.343115,15.483887672424316,25.288333892822266
22.0,24.0,0.0,14.799999,22.76664,15.499423027038574,21.740095138549805
22.0,24.0,0.0,14.899998,22.0142,15.471719741821289,21.63722801208496
22.0,24.0,0.0,14.899998,21.981369,15.49757194519043,23.8770694732666
22.0,24.0,1.485,15.5,22.420212,15.499804496765137,22.590726852416992
22.0,24.0,41.39498,16.0,22.226048,15.499490737915039,24.214054107666016
22.0,24.0,48.45135,16.8,22.51628,15.497005462646484,21.174440383911133
22.0,24.0,133.79245,17.5,21.849197,15.499764442443848,18.468305587768555
22.0,24.0,99.41992,18.400002,21.247967,15.499094009399414,22.269840240478516
22.0,24.0,218.82664,19.3,22.425053,15.499995231628418,19.886390686035156
22.0,24.0,195.57272,20.299995,21.73184,15.499999046325684,23.542394638061523
22.0,24.0,301.83176,21.399998,22.82719,15.499995231628418,18.31155014038086
22.0,24.0,334.032,22.5,21.828787,15.49999713897705,20.168582916259766
22.0,24.0,437.9453,23.5,22.11715,15.499999046325684,19.832927703857422
22.0,24.0,509.31342,24.299995,22.132446,15.499999046325684,23.476383209228516
22.0,24.0,625.05725,25.100006,23.34469,15.499968528747559,18.723257064819336
22.0,24.0,637.7928,25.800003,22.444656,15.499932289123535,23.529756546020508
22.0,24.0,598.42834,26.5,23.667887,15.499999046325684,24.6284122467041
22.0,24.0,603.7679,26.799995,24.099758,15.499992370605469,20.24198341369629
22.0,24.0,591.0823,27.200005,22.97488,15.499993324279785,20.485427856445312
22.0,24.0,635.2403,27.300003,23.068502,15.499992370605469,19.410663604736328
22.0,24.0,566.40094,27.399994,23.065008,15.499999046325684,21.504432678222656
22.0,24.0,505.16476,27.200005,23.400026,15.499980926513672,19.885276794433594
22.0,24.0,410.62842,27.099998,23.15628,15.499940872192383,18.682174682617188
22.0,24.0,400.67307,26.599998,23.115898,15.5,20.949541091918945
22.0,24.0,254.94077,26.099998,23.201069,15.499957084655762,20.057571411132812
22.0,24.0,221.85252,25.100006,23.06557,15.499993324279785,19.62626838684082
22.0,24.0,102.98672,24.099998,22.944479,15.499975204467773,20.180795669555664
22.0,24.0,168.16953,22.7,22.90615,15.499996185302734,18.496593475341797
22.0,24.0,60.94622,21.300003,22.48239,15.499980926513672,18.806859970092773
22.0,24.0,100.74828,21.300003,22.360981,15.499988555908203,18.151912689208984
22.0,24.0,20.434763,18.3,22.189613,15.499847412109375,19.33187484741211
22.0,24.0,10.653113,17.200005,22.07546,15.499955177307129,25.683155059814453
22.0,24.0,4.100338,16.0,23.44939,15.498467445373535,22.589954376220703
22.0,24.0,0.0,15.400002,22.784885,15.499958038330078,23.261817932128906
22.0,24.0,0.0,14.799999,22.92237,15.498977661132812,24.338642120361328
22.0,24.0,0.0,14.5,23.056498,15.499743461608887,21.947410583496094
22.0,24.0,0.0,14.099998,22.400494,15.49997615814209,25.421579360961914
22.0,24.0,0.0,13.899998,23.088634,15.499849319458008,20.142946243286133
22.0,24.0,0.0,13.600002,21.702229,15.499902725219727,20.336551666259766
22.0,24.0,0.0,13.200001,21.747574,15.499974250793457,22.692785263061523
22.0,24.0,0.0,12.900002,22.320742,15.493603706359863,25.478885650634766
22.0,24.0,0.0,12.5,22.799156,15.499374389648438,25.129213333129883
22.0,24.0,0.0,12.199997,22.74341,15.457132339477539,25.860248565673828
22.0,24.0,0.0,11.900002,22.842209,15.470407485961914,20.214962005615234
22.0,24.0,0.0,11.599998,21.46561,15.493585586547852,23.589872360229492
22.0,24.0,0.0,11.300003,22.262276,15.48741340637207,25.88852310180664
22.0,24.0,0.0,11.0,22.61784,15.499066352844238,25.29100227355957
22.0,24.0,0.0,10.700001,22.57599,15.49860668182373,23.56072425842285
22.0,24.0,0.0,10.5,22.244028,15.498619079589844,24.20998764038086
22.0,24.0,0.0,10.400002,22.308186,15.494295120239258,24.84115219116211
22.0,24.0,0.0,10.200001,22.397697,15.464985847473145,24.110645294189453
22.0,24.0,2.145,11.199997,22.257715,15.499613761901855,25.900859832763672
22.0,24.0,64.128876,12.199997,22.50627,15.49537467956543,25.475561141967773
22.0,24.0,25.575,13.400002,22.54134,15.498497009277344,23.322614669799805
22.0,24.0,115.379875,14.599998,22.215805,15.499795913696289,19.54330825805664
